형태소,품사,분류,카운트
Sou-sour,NNP,Lady Gaga & BLACKPINK,1
Sound,NNP,BLACKPINK,1
Sour,NNP,Lady Gaga & BLACKPINK,7
Stressing,VBG,BLACKPINK,1
Sunday,NNP,BLACKPINK,1
Swear,VBP,BLACKPINK,1
THIS,NNP,BLACKPINK,4
Take,VB,BLACKPINK,2
Take,VB,Lady Gaga & BLACKPINK,3
Take,VBP,Lady Gaga & BLACKPINK,1
Tell,NNP,BLACKPINK,1
Test,NNP,BLACKPINK,1
Thank,NNP,BLACKPINK,1
That,DT,BLACKPINK,2
That,WDT,BLACKPINK,1
The,DT,BLACKPINK,2
Then,RB,BLACKPINK,2
Then,RB,Lady Gaga & BLACKPINK,2
Think,NNP,BLACKPINK,2
This,DT,BLACKPINK,2
Time,NNP,BLACKPINK,1
To,TO,BLACKPINK,2
Touch,NNP,BLACKPINK,1
Toxic,NNP,BLACKPINK,1
Turn,VBP,BLACKPINK,1
U,NNP,BLACKPINK,1
UH,NNP,BLACKPINK,4
Uh,NNP,BLACKPINK,3
Uh,NNP,Lady Gaga & BLACKPINK,2
Uh-huh,NNP,Lady Gaga & BLACKPINK,1
Unwrap,NNP,Lady Gaga & BLACKPINK,1
Up,NNP,BLACKPINK,1
V,NNP,BLACKPINK,2
WHOA,NNP,BLACKPINK,2
Wake,NNP,BLACKPINK,2
Wan,NNP,BLACKPINK,1
Want,VBP,BLACKPINK,2
We,PRP,BLACKPINK,15
What,WP,BLACKPINK,5
Whatta,NNP,BLACKPINK,8
When,WRB,BLACKPINK,2
Whenever,NNP,BLACKPINK,1
While,IN,BLACKPINK,1
Who,NNP,BLACKPINK,1
Why,WRB,BLACKPINK,1
Willy,NNP,BLACKPINK,1
Wonderin,NNP,BLACKPINK,1
Workin,NNP,BLACKPINK,2
Would,MD,BLACKPINK,1
Would,NNP,BLACKPINK,3
Xs,CD,BLACKPINK,1
YAH,NNP,BLACKPINK,94
Yeah,NNP,BLACKPINK,6
Yeah,VBZ,BLACKPINK,2
Yes,NNP,BLACKPINK,1
You,PRP,BLACKPINK,50
You,PRP,Lady Gaga & BLACKPINK,1
Your,PRP$,BLACKPINK,2
[,JJ,BLACKPINK,7
[,NN,BLACKPINK,1
[,NNP,BLACKPINK,17
[,VB,BLACKPINK,3
[,VBP,BLACKPINK,10
[,VBZ,BLACKPINK,2
],NN,BLACKPINK,3
],NNP,BLACKPINK,37
a,DT,BLACKPINK,44
a,DT,Lady Gaga & BLACKPINK,12
about,IN,BLACKPINK,1
act,NN,BLACKPINK,2
again,RB,BLACKPINK,2
ah,JJ,BLACKPINK,1
ah,NN,BLACKPINK,1
ahh,NN,BLACKPINK,1
ahhh,NN,BLACKPINK,1
ai,VBP,BLACKPINK,5
ain,VBP,BLACKPINK,29
ain,VBZ,BLACKPINK,3
alarms,NNS,BLACKPINK,1
alike,RB,BLACKPINK,2
all,DT,BLACKPINK,17
alone,JJ,BLACKPINK,1
alone,RB,BLACKPINK,7
always,RB,BLACKPINK,3
am,VBP,BLACKPINK,1
an,DT,BLACKPINK,4
and,CC,BLACKPINK,20
and,CC,Lady Gaga & BLACKPINK,2
angry,JJ,BLACKPINK,1
angry,JJ,Lady Gaga & BLACKPINK,2
another,DT,BLACKPINK,1
anymore,RB,BLACKPINK,1
are,VBP,BLACKPINK,9
area,NN,BLACKPINK,4
arms,NNS,BLACKPINK,1
as,IN,BLACKPINK,1
asked,VBD,BLACKPINK,1
at,IN,BLACKPINK,31
attitude,NN,BLACKPINK,1
baby,IN,BLACKPINK,1
baby,NN,BLACKPINK,10
baby,VBP,BLACKPINK,1
baby,VBZ,BLACKPINK,1
back,RB,BLACKPINK,4
back,RP,BLACKPINK,2
background,NN,BLACKPINK,1
bad,JJ,BLACKPINK,3
badda,NN,BLACKPINK,1
bag,NN,BLACKPINK,1
bags,NNS,BLACKPINK,1
banger,NN,BLACKPINK,1
bass,NN,BLACKPINK,1
be,VB,BLACKPINK,23
be,VB,Lady Gaga & BLACKPINK,2
beat,NN,BLACKPINK,1
bed,NN,BLACKPINK,1
been,VBN,BLACKPINK,11
believe,VB,BLACKPINK,3
best,JJS,BLACKPINK,1
bet,IN,BLACKPINK,2
bet,NN,BLACKPINK,1
bet,RB,BLACKPINK,4
bet,VB,BLACKPINK,1
bet,VBP,BLACKPINK,11
better,JJR,BLACKPINK,8
big,JJ,BLACKPINK,1
bing,VBG,BLACKPINK,1
bird,NN,BLACKPINK,1
bish,JJ,BLACKPINK,4
bishes,NNS,BLACKPINK,2
bit,NN,BLACKPINK,1
bite,JJ,Lady Gaga & BLACKPINK,7
bite,NN,Lady Gaga & BLACKPINK,1
bite,VB,BLACKPINK,2
black,JJ,BLACKPINK,2
blame,IN,BLACKPINK,1
blind,NN,BLACKPINK,2
blind,VB,BLACKPINK,1
blow,VB,BLACKPINK,4
body,NN,BLACKPINK,2
bomb,NN,BLACKPINK,9
bomb,VBD,BLACKPINK,1
boo,RB,BLACKPINK,1
boom,NN,BLACKPINK,4
boomin,NN,BLACKPINK,1
booom,NN,BLACKPINK,1
born,VBN,BLACKPINK,6
boss,NN,BLACKPINK,2
both,DT,BLACKPINK,2
bottle,CC,BLACKPINK,1
bottom,JJ,BLACKPINK,1
bottom,NN,BLACKPINK,1
