형태소,품사,그룹명,카운트
.,Punctuation,NCT U,10
.,Punctuation,Red Velvet(레드벨벳),30
.,Punctuation,SEVENTEEN(세븐틴),39
.,Punctuation,TWICE,5
..,Punctuation,BTS(방탄소년단),44
..,Punctuation,Red Velvet(레드벨벳),4
..,Punctuation,SEVENTEEN(세븐틴),2
"..""",Punctuation,BTS(방탄소년단),1
..',Punctuation,BTS(방탄소년단),1
...,Punctuation,BTS(방탄소년단),11
...,Punctuation,EXO-K,6
....,Punctuation,BLACKPINK,2
0,Number,EXO-K,1
0,Number,SEVENTEEN(세븐틴),2
062-518,Number,BTS(방탄소년단),1
1,Number,BLACKPINK,1
1,Number,BTS(방탄소년단),14
1,Number,BTS(방탄소년단) & Juice WRLD,1
1,Number,EXO,5
1,Number,EXO-K,1
1,Number,Red Velvet(레드벨벳),15
1,Number,SEVENTEEN(세븐틴),7
1,Number,TWICE,20
10,Number,BTS(방탄소년단),4
10,Number,Red Velvet(레드벨벳),28
10,Number,TWICE,22
100,Number,SEVENTEEN(세븐틴),2
100%,Number,NCT U,1
100%,Number,TWICE,1
10만원,Number,BTS(방탄소년단),1
10분,Number,Red Velvet(레드벨벳),3
119,Number,BTS(방탄소년단),1
12345,Number,TWICE,4
12시,Number,BTS(방탄소년단),2
12월,Number,SEVENTEEN(세븐틴),1
12월,Number,TWICE,4
13월,Number,SEVENTEEN(세븐틴),7
14,Number,BTS(방탄소년단),1
15,Number,NCT U,1
156,Number,NCT U,4
16,Number,BTS(방탄소년단),1
16,Number,TWICE,3
17,Number,BTS(방탄소년단),1
17,Number,SEVENTEEN(세븐틴),1
181,Number,BTS(방탄소년단),1
1년,Number,BTS(방탄소년단),4
1년,Number,EXO,5
1년,Number,TWICE,1
1등,Number,BTS(방탄소년단),2
1등,Number,SEVENTEEN(세븐틴),1
1분,Number,EXO,2
1분,Number,Red Velvet(레드벨벳),2
1분,Number,SEVENTEEN(세븐틴),3
1월,Number,SEVENTEEN(세븐틴),1
