형태소,품사,분류,카운트
Yeah,Alpha,BLACKPINK,8
Yes,Alpha,BLACKPINK,1
You,Alpha,BLACKPINK,50
You,Alpha,Lady Gaga & BLACKPINK,1
Your,Alpha,BLACKPINK,2
[,Punctuation,BLACKPINK,40
],Punctuation,BLACKPINK,40
`,Punctuation,BLACKPINK,1
a,Alpha,BLACKPINK,44
a,Alpha,Lady Gaga & BLACKPINK,12
about,Alpha,BLACKPINK,1
act,Alpha,BLACKPINK,2
again,Alpha,BLACKPINK,2
ah,Alpha,BLACKPINK,2
ahh,Alpha,BLACKPINK,1
ahhh,Alpha,BLACKPINK,1
ain,Alpha,BLACKPINK,37
alarms,Alpha,BLACKPINK,1
alike,Alpha,BLACKPINK,2
all,Alpha,BLACKPINK,17
alone,Alpha,BLACKPINK,8
always,Alpha,BLACKPINK,3
am,Alpha,BLACKPINK,1
an,Alpha,BLACKPINK,4
and,Alpha,BLACKPINK,20
and,Alpha,Lady Gaga & BLACKPINK,2
angry,Alpha,BLACKPINK,1
angry,Alpha,Lady Gaga & BLACKPINK,2
another,Alpha,BLACKPINK,1
anymore,Alpha,BLACKPINK,1
are,Alpha,BLACKPINK,9
area,Alpha,BLACKPINK,4
arms,Alpha,BLACKPINK,1
as,Alpha,BLACKPINK,1
asked,Alpha,BLACKPINK,1
at,Alpha,BLACKPINK,31
attitude,Alpha,BLACKPINK,1
baby,Alpha,BLACKPINK,13
back,Alpha,BLACKPINK,6
background,Alpha,BLACKPINK,1
bad,Alpha,BLACKPINK,3
badda,Alpha,BLACKPINK,1
bag,Alpha,BLACKPINK,1
bags,Alpha,BLACKPINK,1
banger,Alpha,BLACKPINK,1
bass,Alpha,BLACKPINK,1
be,Alpha,BLACKPINK,23
be,Alpha,Lady Gaga & BLACKPINK,2
beat,Alpha,BLACKPINK,1
bed,Alpha,BLACKPINK,1
been,Alpha,BLACKPINK,11
believe,Alpha,BLACKPINK,3
best,Alpha,BLACKPINK,1
bet,Alpha,BLACKPINK,19
better,Alpha,BLACKPINK,8
big,Alpha,BLACKPINK,1
bing,Alpha,BLACKPINK,1
bird,Alpha,BLACKPINK,1
bish,Alpha,BLACKPINK,4
bishes,Alpha,BLACKPINK,2
bit,Alpha,BLACKPINK,1
bite,Alpha,BLACKPINK,2
bite,Alpha,Lady Gaga & BLACKPINK,8
black,Alpha,BLACKPINK,2
blame,Alpha,BLACKPINK,1
blind,Alpha,BLACKPINK,3
blow,Alpha,BLACKPINK,4
body,Alpha,BLACKPINK,2
bomb,Alpha,BLACKPINK,10
boo,Alpha,BLACKPINK,1
boom,Alpha,BLACKPINK,4
boomin,Alpha,BLACKPINK,1
booom,Alpha,BLACKPINK,1
born,Alpha,BLACKPINK,6
boss,Alpha,BLACKPINK,2
both,Alpha,BLACKPINK,2
bottle,Alpha,BLACKPINK,1
bottom,Alpha,BLACKPINK,2
bought,Alpha,BLACKPINK,1
bout,Alpha,BLACKPINK,6
boy,Alpha,BLACKPINK,26
boys,Alpha,BLACKPINK,2
break,Alpha,BLACKPINK,2
break,Alpha,Lady Gaga & BLACKPINK,1
bright,Alpha,BLACKPINK,2
bringing,Alpha,BLACKPINK,1
brrr,Alpha,BLACKPINK,1
bum,Alpha,BLACKPINK,32
burn,Alpha,BLACKPINK,4
bust,Alpha,BLACKPINK,2
busy,Alpha,BLACKPINK,2
but,Alpha,BLACKPINK,9
buy,Alpha,BLACKPINK,1
by,Alpha,BLACKPINK,3
bye,Alpha,BLACKPINK,5
call,Alpha,BLACKPINK,4
callin,Alpha,BLACKPINK,1
can,Alpha,BLACKPINK,20
candy,Alpha,Lady Gaga & BLACKPINK,16
car,Alpha,BLACKPINK,1
care,Alpha,BLACKPINK,2
catch,Alpha,BLACKPINK,2
cause,Alpha,BLACKPINK,4
chase,Alpha,BLACKPINK,1
check,Alpha,BLACKPINK,3
checkmate,Alpha,BLACKPINK,1
cherry,Alpha,BLACKPINK,1
chic,Alpha,BLACKPINK,2
chillin,Alpha,BLACKPINK,18
chilly,Alpha,BLACKPINK,1
choir,Alpha,BLACKPINK,1
chosen,Alpha,BLACKPINK,1
clean,Alpha,BLACKPINK,1
close,Alpha,BLACKPINK,1
closer,Alpha,BLACKPINK,1
club,Alpha,BLACKPINK,2
cock,Alpha,BLACKPINK,1
cold,Alpha,BLACKPINK,2
come,Alpha,BLACKPINK,12
come,Alpha,Lady Gaga & BLACKPINK,4
commit,Alpha,BLACKPINK,1
cone,Alpha,BLACKPINK,2
could,Alpha,BLACKPINK,10
could,Alpha,Lady Gaga & BLACKPINK,2
couldn,Alpha,BLACKPINK,1
course,Alpha,BLACKPINK,2
crack,Alpha,BLACKPINK,1
crazy,Alpha,BLACKPINK,9
crazy,Alpha,Lady Gaga & BLACKPINK,2
cream,Alpha,BLACKPINK,26
cry,Alpha,BLACKPINK,1
curb,Alpha,BLACKPINK,1
d,Alpha,BLACKPINK,1
damn,Alpha,BLACKPINK,1
dance,Alpha,BLACKPINK,3
dangerous,Alpha,BLACKPINK,1
darlin,Alpha,BLACKPINK,2
date,Alpha,BLACKPINK,1
day,Alpha,BLACKPINK,2
days,Alpha,BLACKPINK,2
ddu,Alpha,BLACKPINK,10
dead,Alpha,BLACKPINK,1
deal,Alpha,BLACKPINK,1
dealt,Alpha,BLACKPINK,1
degular,Alpha,BLACKPINK,1
desert,Alpha,BLACKPINK,1
deserve,Alpha,BLACKPINK,2
desire,Alpha,BLACKPINK,2
diamond,Alpha,BLACKPINK,1
diamonds,Alpha,BLACKPINK,2
did,Alpha,BLACKPINK,1
die,Alpha,BLACKPINK,5
ding,Alpha,BLACKPINK,1
dip,Alpha,BLACKPINK,2
diss,Alpha,BLACKPINK,1
do,Alpha,BLACKPINK,29
do,Alpha,Lady Gaga & BLACKPINK,1
doctor,Alpha,BLACKPINK,1
don,Alpha,BLACKPINK,17
don,Alpha,Lady Gaga & BLACKPINK,1
done,Alpha,BLACKPINK,4
dong,Alpha,BLACKPINK,1
door,Alpha,BLACKPINK,2
double,Alpha,BLACKPINK,3
down,Alpha,BLACKPINK,16
drama,Alpha,BLACKPINK,2
drip,Alpha,BLACKPINK,1
drop,Alpha,BLACKPINK,1
drug,Alpha,BLACKPINK,1
du,Alpha,BLACKPINK,15
dumb,Alpha,BLACKPINK,6
easier,Alpha,BLACKPINK,3
eat,Alpha,BLACKPINK,2
eee,Alpha,BLACKPINK,6
eh,Alpha,BLACKPINK,4
else,Alpha,BLACKPINK,2
em,Alpha,BLACKPINK,6
enemies,Alpha,BLACKPINK,1
enough,Alpha,BLACKPINK,4
even,Alpha,BLACKPINK,1
ever,Alpha,BLACKPINK,24
everybody,Alpha,BLACKPINK,3
exes,Alpha,BLACKPINK,1
extra,Alpha,Lady Gaga & BLACKPINK,1
eyes,Alpha,Lady Gaga & BLACKPINK,1
fact,Alpha,BLACKPINK,1
fade,Alpha,BLACKPINK,1
fake,Alpha,Lady Gaga & BLACKPINK,1
fakes,Alpha,BLACKPINK,1
fall,Alpha,BLACKPINK,1
fallin,Alpha,BLACKPINK,1
fan,Alpha,BLACKPINK,1
fat,Alpha,BLACKPINK,1
favorite,Alpha,BLACKPINK,3
feelin,Alpha,BLACKPINK,3
felony,Alpha,BLACKPINK,2
fight,Alpha,BLACKPINK,1
finally,Alpha,BLACKPINK,2
find,Alpha,BLACKPINK,3
finger,Alpha,BLACKPINK,1
